gamma,net_arch,log_prob_loss,target_log_probs,target_back_probs,reward_type,adv_coef,horizon,n_epochs,policy_name,n_traj,temp,n_trials,n_states,lr,val_coef,hard,use_returns,use_z,kl_coef,use_scheduler,scores_mean,scores_std,correls_mean,correls_std
0.99,"[8, 8]",kl,True,False,state,1.0,7,100,Hard Smax,20,5,5,6,0.001,0.5,False,True,True,1.0,False,0.14105733711037408,0.03821868508506315,-0.09948484958727462,0.2919222197845692
0.99,"[8, 8]",kl,True,False,next state only,1.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,False,True,True,1.0,False,0.17226276280988162,0.0,0.23044417779848594,0.19977071722642073
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,100,5,5,6,0.001,0.5,False,True,True,1.0,False,0.17223063131458452,6.426299059419938e-05,-0.12818832512745773,0.1606058982405965
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,100,5,5,6,0.001,0.5,False,True,True,1.0,False,1.0,0.0,0.8056111670891355,0.04352142469160047
0.99,"[8, 8]",kl,True,True,next state only,1.0,7,100,Hard Smax,100,5,5,6,0.001,0.5,False,True,True,1.0,False,0.6412198781161947,0.4415891113632841,0.6170853967917131,0.3107681373520134
0.99,"[8, 8]",kl,True,False,state,0.0,7,100,Hard Smax,100,5,5,6,0.001,0.5,False,True,True,1.0,False,0.1429155435839198,0.05866463271918388,-0.5478995322946885,0.24368977886304807
0.99,"[8, 8]",kl,True,True,next state only,0.0,7,100,Hard Smax,100,5,5,6,0.001,0.5,False,True,True,1.0,False,1.0,0.0,0.8736755757553452,0.026681132411063894
0.99,"[8, 8]",kl,True,False,state,1.0,7,100,Hard Smax,100,1,5,6,0.001,0.5,False,True,True,1.0,False,0.17226276280988162,0.0,-0.2837561046982978,0.13082952665375164
0.99,"[8, 8]",kl,True,True,next state only,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,False,True,1.0,False,0.1144431018281404,0.07061446955140661,-0.02184488492612373,0.5457585782203782
0.99,"[8, 8]",kl,True,False,next state only,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,False,True,1.0,False,0.1518543628134546,0.04079273569589812,0.329697222963395,0.3253929915761961
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,False,True,1.0,False,0.1018114889334186,0.061446909528594135,0.1344441605220596,0.3302096556750728
0.99,"[8, 8]",kl,True,False,state,0.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,False,True,1.0,False,0.1419490154416944,0.060619091406388534,-0.11728829904069271,0.30734685909160636
0.99,"[8, 8]",kl,True,False,next state only,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,False,True,1.0,False,0.12159553943658255,0.05601925541633812,0.3315285708041472,0.5649487072244324
0.99,"[8, 8]",kl,True,True,state,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,False,True,1.0,False,0.11991092149532454,0.06445414361331296,0.07204714953772565,0.3169786212160167
0.99,"[8, 8]",kl,True,True,next state only,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,False,True,1.0,False,0.11589022531225797,0.04921956847844351,0.06260959131230234,0.567598266429493
0.99,"[8, 8]",kl,True,False,next state only,1.0,7,100,Hard Smax,100,5,5,6,0.001,0.5,False,True,True,1.0,False,0.17226276280988162,0.0,0.3649466424797979,0.22757609053368177
0.99,"[8, 8]",kl,True,False,state,1.0,7,100,Hard Smax,20,1,5,6,0.001,0.0,True,False,True,1.0,False,0.056598418978993606,0.0579941328045588,0.2217704331017135,0.3980424360274252
0.99,"[8, 8]",kl,True,False,state,1.0,7,100,Hard Smax,100,5,5,6,0.001,0.5,False,True,True,1.0,False,0.1471874559601179,0.05015061369952745,0.15956597011982437,0.4450909226239166
0.99,"[8, 8]",kl,True,True,state,0.0,7,100,Hard Smax,100,1,5,6,0.001,0.0,True,False,True,1.0,False,0.11882179982423391,0.0659251214895558,-0.15009252700076686,0.23982922632579862
